DatumUhrzeit;Fuss_IN;Fuss_OUT;Velo_IN;Velo_OUT;lon;lat;Standort
01.01.2017 00:00;0;0;0;0;2684609;1236200;Sihlufer
01.01.2017 01:00;0;0;0;0;2684609;1236200;Sihlufer
01.01.2017 02:00;0;0;0;0;2684609;1236200;Sihlufer
01.01.2017 03:00;0;0;0;0;2684609;1236200;Sihlufer
01.01.2017 04:00;0;0;0;0;2684609;1236200;Sihlufer
01.01.2017 05:00;0;0;0;0;2684609;1236200;Sihlufer
01.01.2017 06:00;0;0;0;0;2684609;1236200;Sihlufer
01.01.2017 07:00;0;0;0;0;2684609;1236200;Sihlufer
01.01.2017 08:00;0;0;0;0;2684609;1236200;Sihlufer
01.01.2017 09:00;0;0;0;0;2684609;1236200;Sihlufer
01.01.2017 10:00;0;0;0;0;2684609;1236200;Sihlufer
01.01.2017 11:00;6;4;0;0;2684609;1236200;Sihlufer
01.01.2017 12:00;6;0;0;0;2684609;1236200;Sihlufer
01.01.2017 13:00;2;4;0;0;2684609;1236200;Sihlufer
01.01.2017 14:00;8;0;0;0;2684609;1236200;Sihlufer
01.01.2017 15:00;0;8;0;0;2684609;1236200;Sihlufer
01.01.2017 16:00;0;8;0;0;2684609;1236200;Sihlufer
01.01.2017 17:00;0;0;0;0;2684609;1236200;Sihlufer
01.01.2017 18:00;0;0;0;0;2684609;1236200;Sihlufer
01.01.2017 19:00;0;0;0;0;2684609;1236200;Sihlufer
01.01.2017 20:00;0;0;0;0;2684609;1236200;Sihlufer
01.01.2017 21:00;0;0;0;0;2684609;1236200;Sihlufer
01.01.2017 22:00;0;0;0;0;2684609;1236200;Sihlufer
01.01.2017 23:00;0;0;0;0;2684609;1236200;Sihlufer
02.01.2017 00:00;0;0;0;0;2684609;1236200;Sihlufer
02.01.2017 01:00;0;0;0;0;2684609;1236200;Sihlufer
02.01.2017 02:00;0;0;0;0;2684609;1236200;Sihlufer
02.01.2017 03:00;0;0;0;0;2684609;1236200;Sihlufer
02.01.2017 04:00;0;0;0;0;2684609;1236200;Sihlufer
02.01.2017 05:00;0;0;0;0;2684609;1236200;Sihlufer
02.01.2017 06:00;0;0;0;0;2684609;1236200;Sihlufer
02.01.2017 07:00;0;0;0;0;2684609;1236200;Sihlufer
02.01.2017 08:00;2;0;0;0;2684609;1236200;Sihlufer
02.01.2017 09:00;2;0;0;0;2684609;1236200;Sihlufer
02.01.2017 10:00;2;4;0;0;2684609;1236200;Sihlufer
02.01.2017 11:00;6;0;0;0;2684609;1236200;Sihlufer
02.01.2017 12:00;12;8;1;0;2684609;1236200;Sihlufer
02.01.2017 13:00;6;8;1;0;2684609;1236200;Sihlufer
02.01.2017 14:00;0;16;1;0;2684609;1236200;Sihlufer
02.01.2017 15:00;4;0;0;0;2684609;1236200;Sihlufer
02.01.2017 16:00;2;8;0;0;2684609;1236200;Sihlufer
02.01.2017 17:00;0;0;0;0;2684609;1236200;Sihlufer
02.01.2017 18:00;0;0;0;0;2684609;1236200;Sihlufer
02.01.2017 19:00;0;0;0;0;2684609;1236200;Sihlufer
02.01.2017 20:00;0;0;0;0;2684609;1236200;Sihlufer
02.01.2017 21:00;0;0;0;0;2684609;1236200;Sihlufer
02.01.2017 22:00;0;0;0;0;2684609;1236200;Sihlufer
02.01.2017 23:00;0;0;0;0;2684609;1236200;Sihlufer
03.01.2017 00:00;0;0;0;0;2684609;1236200;Sihlufer
03.01.2017 01:00;0;0;0;0;2684609;1236200;Sihlufer
03.01.2017 02:00;0;0;0;0;2684609;1236200;Sihlufer
03.01.2017 03:00;0;0;0;0;2684609;1236200;Sihlufer
03.01.2017 04:00;0;0;0;0;2684609;1236200;Sihlufer
03.01.2017 05:00;0;0;0;0;2684609;1236200;Sihlufer
03.01.2017 06:00;0;0;0;0;2684609;1236200;Sihlufer
03.01.2017 07:00;0;0;0;0;2684609;1236200;Sihlufer
03.01.2017 08:00;4;4;0;0;2684609;1236200;Sihlufer
03.01.2017 09:00;0;4;0;0;2684609;1236200;Sihlufer
03.01.2017 10:00;2;0;0;0;2684609;1236200;Sihlufer
03.01.2017 11:00;4;0;0;0;2684609;1236200;Sihlufer
03.01.2017 12:00;0;0;0;0;2684609;1236200;Sihlufer
03.01.2017 13:00;0;0;0;0;2684609;1236200;Sihlufer
03.01.2017 14:00;0;0;0;0;2684609;1236200;Sihlufer
03.01.2017 15:00;4;0;0;0;2684609;1236200;Sihlufer
03.01.2017 16:00;0;0;0;0;2684609;1236200;Sihlufer
03.01.2017 17:00;0;0;0;0;2684609;1236200;Sihlufer
03.01.2017 18:00;0;0;0;0;2684609;1236200;Sihlufer
03.01.2017 19:00;0;0;0;0;2684609;1236200;Sihlufer
03.01.2017 20:00;0;0;0;0;2684609;1236200;Sihlufer
03.01.2017 21:00;0;0;0;0;2684609;1236200;Sihlufer
03.01.2017 22:00;0;0;0;0;2684609;1236200;Sihlufer
03.01.2017 23:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 00:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 01:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 02:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 03:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 04:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 05:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 06:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 07:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 08:00;0;4;0;0;2684609;1236200;Sihlufer
04.01.2017 09:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 10:00;0;4;0;0;2684609;1236200;Sihlufer
04.01.2017 11:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 12:00;4;4;0;0;2684609;1236200;Sihlufer
04.01.2017 13:00;2;8;0;1;2684609;1236200;Sihlufer
04.01.2017 14:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 15:00;2;8;0;0;2684609;1236200;Sihlufer
04.01.2017 16:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 17:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 18:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 19:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 20:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 21:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 22:00;0;0;0;0;2684609;1236200;Sihlufer
04.01.2017 23:00;0;0;0;0;2684609;1236200;Sihlufer
05.01.2017 00:00;0;0;0;0;2684609;1236200;Sihlufer
01.01.2017 00:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 01:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 02:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 03:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 04:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 05:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 06:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 07:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 08:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 09:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 10:00;1;1;0;0;2684287;1234731;Sihlwald
01.01.2017 11:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 12:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 13:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 14:00;0;0;1;0;2684287;1234731;Sihlwald
01.01.2017 15:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 16:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 17:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 18:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 19:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 20:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 21:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 22:00;0;0;0;0;2684287;1234731;Sihlwald
01.01.2017 23:00;0;0;0;0;2684287;1234731;Sihlwald
02.01.2017 00:00;0;0;0;0;2684287;1234731;Sihlwald
02.01.2017 01:00;0;0;0;0;2684287;1234731;Sihlwald
02.01.2017 02:00;0;0;0;0;2684287;1234731;Sihlwald
02.01.2017 03:00;0;0;0;0;2684287;1234731;Sihlwald
02.01.2017 04:00;1;0;0;0;2684287;1234731;Sihlwald
02.01.2017 05:00;0;0;0;0;2684287;1234731;Sihlwald
02.01.2017 06:00;0;0;0;0;2684287;1234731;Sihlwald
02.01.2017 07:00;0;0;0;0;2684287;1234731;Sihlwald
02.01.2017 08:00;0;0;0;0;2684287;1234731;Sihlwald
02.01.2017 09:00;0;0;0;0;2684287;1234731;Sihlwald
02.01.2017 10:00;7;0;0;0;2684287;1234731;Sihlwald
02.01.2017 11:00;1;0;0;0;2684287;1234731;Sihlwald
02.01.2017 12:00;3;0;1;0;2684287;1234731;Sihlwald
02.01.2017 13:00;1;4;0;0;2684287;1234731;Sihlwald
02.01.2017 14:00;0;0;0;0;2684287;1234731;Sihlwald
02.01.2017 15:00;0;0;0;0;2684287;1234731;Sihlwald
02.01.2017 16:00;0;0;0;0;2684287;1234731;Sihlwald
02.01.2017 17:00;6;0;0;0;2684287;1234731;Sihlwald
02.01.2017 18:00;0;0;0;0;2684287;1234731;Sihlwald
02.01.2017 19:00;0;0;0;0;2684287;1234731;Sihlwald
02.01.2017 20:00;3;4;0;0;2684287;1234731;Sihlwald
02.01.2017 21:00;0;0;0;0;2684287;1234731;Sihlwald
02.01.2017 22:00;0;0;0;0;2684287;1234731;Sihlwald
02.01.2017 23:00;0;0;0;0;2684287;1234731;Sihlwald
03.01.2017 00:00;0;0;0;0;2684287;1234731;Sihlwald
03.01.2017 01:00;0;0;0;0;2684287;1234731;Sihlwald
03.01.2017 02:00;0;0;0;0;2684287;1234731;Sihlwald
03.01.2017 03:00;0;0;0;0;2684287;1234731;Sihlwald
03.01.2017 04:00;0;0;0;0;2684287;1234731;Sihlwald
03.01.2017 05:00;0;0;0;0;2684287;1234731;Sihlwald
03.01.2017 06:00;0;0;0;0;2684287;1234731;Sihlwald
03.01.2017 07:00;0;0;0;0;2684287;1234731;Sihlwald
03.01.2017 08:00;2;0;0;0;2684287;1234731;Sihlwald
03.01.2017 09:00;2;0;0;0;2684287;1234731;Sihlwald
03.01.2017 10:00;1;0;0;0;2684287;1234731;Sihlwald
03.01.2017 11:00;1;1;1;0;2684287;1234731;Sihlwald
03.01.2017 12:00;3;0;1;0;2684287;1234731;Sihlwald
03.01.2017 13:00;2;0;1;0;2684287;1234731;Sihlwald
03.01.2017 14:00;2;2;0;0;2684287;1234731;Sihlwald
03.01.2017 15:00;1;0;0;0;2684287;1234731;Sihlwald
03.01.2017 16:00;0;1;0;0;2684287;1234731;Sihlwald
03.01.2017 17:00;0;0;0;0;2684287;1234731;Sihlwald
03.01.2017 18:00;0;0;0;0;2684287;1234731;Sihlwald
03.01.2017 19:00;0;0;0;0;2684287;1234731;Sihlwald
03.01.2017 20:00;0;0;0;0;2684287;1234731;Sihlwald
03.01.2017 21:00;0;0;0;0;2684287;1234731;Sihlwald
03.01.2017 22:00;0;0;0;0;2684287;1234731;Sihlwald
03.01.2017 23:00;0;0;0;0;2684287;1234731;Sihlwald
04.01.2017 00:00;0;0;0;0;2684287;1234731;Sihlwald
04.01.2017 01:00;0;0;0;0;2684287;1234731;Sihlwald
04.01.2017 02:00;0;0;0;0;2684287;1234731;Sihlwald
04.01.2017 03:00;0;0;0;0;2684287;1234731;Sihlwald
04.01.2017 04:00;0;0;0;0;2684287;1234731;Sihlwald
04.01.2017 05:00;0;0;0;0;2684287;1234731;Sihlwald
04.01.2017 06:00;0;0;0;0;2684287;1234731;Sihlwald
04.01.2017 07:00;1;0;0;0;2684287;1234731;Sihlwald
04.01.2017 08:00;2;0;0;0;2684287;1234731;Sihlwald
04.01.2017 09:00;2;0;0;0;2684287;1234731;Sihlwald
04.01.2017 10:00;0;2;0;0;2684287;1234731;Sihlwald
04.01.2017 11:00;8;2;0;0;2684287;1234731;Sihlwald
04.01.2017 12:00;7;1;0;0;2684287;1234731;Sihlwald
04.01.2017 13:00;4;4;0;0;2684287;1234731;Sihlwald
04.01.2017 14:00;2;2;1;0;2684287;1234731;Sihlwald
04.01.2017 15:00;0;0;0;0;2684287;1234731;Sihlwald
04.01.2017 16:00;0;0;0;0;2684287;1234731;Sihlwald
04.01.2017 17:00;0;0;0;0;2684287;1234731;Sihlwald
04.01.2017 18:00;0;0;0;0;2684287;1234731;Sihlwald
04.01.2017 19:00;0;0;0;0;2684287;1234731;Sihlwald
04.01.2017 20:00;0;0;0;0;2684287;1234731;Sihlwald
04.01.2017 21:00;0;0;0;0;2684287;1234731;Sihlwald
04.01.2017 22:00;0;0;0;0;2684287;1234731;Sihlwald
04.01.2017 23:00;0;0;0;0;2684287;1234731;Sihlwald
05.01.2017 00:00;0;0;0;0;2684287;1234731;Sihlwald
