PlotID;Vaccinium.myrtillus;Vaccinium.uliginosum;Vaccinium.oxycoccos;Calluna.vulgaris;Carex.rostrata;Carex.lasiocarpa;Carex.nigra;Carex.davalliana;Carex.hostiana;Carex.pauciflora;Carex.echinata;Carex.panicea;Trichophorum.caespitosum;Trichophorum.alpinum;Eriophorum.vaginatum;Eriophorum.latifolium;Eriophorum.angustifolium;Tofieldia.calyculata;Pinguicula.vulgaris;Parnassia.palustris;Rhynchospora.alba;Drosera.rotundifolia;Arnica.montana;Dactylorhiza.maculata;Polytrichum.strictum;Succisa.pratensis;Anthoxanthum.odoratum;Molinia.caerulea;Gentiana.asclepiadea;Luzula.multiflora;Festuca.rubra;Potentilla.erecta;Sphagnum.magellanicum;Sphagnum.papillosum;Equisetum.palustre;Aulacomnium.palustre;Euphrasia.rostkoviana;Nardus.stricta;Carex.pulicaris;Climacium.dendroides;Carex.pallescens;Carex.lepidocarpa;Briza.media;Sphagnum.platyphyllum;Sphagnum.tenellum;Sphagnum.recurvum;Sphagnum.rubellum;Sphagnum.centrale;Sphagnum.subsecundum;Juncus.alpinoarticulatus;Solidago.virgaurea;Agrostis.canina;Juncus.effusus;Frangula.alnus;Anemone.nemorosa;Holcus.lanatus;Drepanocladus.exannulatus;Homogyne.alpina;Polygala.vulgaris;Trollius.europaeus;Polygonum.bistorta;Lotus.pedunculatus;Trifolium.pratense;Taraxacum.palustre;Campylium.stellatum;Cirsium.palustre;Lysimachia.vulgaris;Maianthemum.bifolium;Equisetum.sylvaticum;Centaurea.jacea;Prunella.grandiflora;Viola.palustris;Angelica.sylvestris;Filipendula.ulmaria;Thuidium.delicatulum;Sanguisorba.officinalis;Galium.uliginosum;Epipactis.palustris;Pleurozium.schreberi;Calliergon.stramineum;Aster.bellidiastrum;Hypnum.bambergeri;Drepanocladus.revolvens;Dicranum.bonjeanii;Dicranum.scoparium;Hylocomium.splendens;Rhytidiadelphus.squarrosus;Calliergonella.cuspidata;Fissidens.adianthoides;Primula.veris;Primula.farinosa;Hieracium.lachenalii;Crepis.paludosa;Leontodon.hispidus;Lotus.corniculatus;Stachys.officinalis;Carex.flacca;Gentiana.verna;Geranium.sylvaticum;Ranunculus.nemorosus;Linum.catharticum;Cirsium.oleraceum;Colchicum.autumnale;Polygala.amarella;Polygala.serpyllifolia;Equisetum.arvense;Deschampsia.cespitosa;Rhinanthus.minor;Gymnadenia.conopsea;Melampyrum.pratense;Salix.spec.;Caltha.palustris;Dactylorhiza.fistulosa;Platanthera.bifolia;Acer.pseudoplatanus;Danthonia.decumbens;Drepanocladus.spec.;Tomentypnum.nitens;Ctenidium.molluscum
501;0;0;2;1;0;0;2;0;0;0;2;0;2;1;0;0;1;0;0;0;0;1;1;1;1;0;1;1;1;0;0;2;2;1;1;2;0;0;0;0;0;0;0;0;0;5;1;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
502;1;2;1;3;0;2;1;0;0;0;0;0;2;0;1;0;2;0;0;0;0;0;0;1;1;1;1;2;1;1;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
503;1;1;1;0;0;2;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;2;1;1;1;1;2;1;1;0;1;1;1;2;1;0;1;0;0;1;0;1;0;0;6;2;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
504;1;0;1;0;1;1;0;0;0;1;2;0;0;0;1;0;1;0;0;0;0;1;1;1;1;0;1;1;1;0;0;2;1;1;2;1;0;0;0;0;0;0;0;0;0;6;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
505;1;1;1;1;0;2;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;1;1;1;1;1;0;0;1;3;1;1;1;0;1;0;0;0;0;1;0;0;2;2;0;0;0;0;1;1;0;2;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
506;1;1;2;1;0;2;1;0;0;0;2;0;1;0;0;0;1;1;0;0;0;1;1;1;1;1;1;2;1;0;0;2;3;0;1;1;0;1;0;0;0;0;0;0;0;3;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
507;1;1;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;0;1;1;2;2;0;1;2;0;1;0;0;0;0;1;0;0;5;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1
508;0;1;1;0;2;1;2;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;0;3;1;0;1;0;0;0;0;0;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
509;0;0;1;0;0;1;1;0;0;0;3;0;1;0;0;0;1;0;0;0;0;0;2;1;1;0;1;1;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;6;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
510;1;0;1;0;0;1;1;1;0;0;2;0;1;1;0;0;1;0;0;0;0;2;1;1;0;1;1;1;1;0;1;2;2;1;1;1;0;1;0;0;0;0;0;0;0;3;4;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
511;0;0;0;0;0;1;0;0;0;0;1;1;3;1;0;0;1;0;1;0;0;0;2;1;0;1;1;1;1;0;0;1;2;1;1;1;0;1;0;1;1;0;0;0;0;3;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
512;1;1;1;2;1;2;1;0;0;0;2;1;1;0;1;0;1;0;0;0;0;2;2;1;1;0;1;1;0;0;0;1;5;1;0;2;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
513;0;0;1;0;1;1;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;2;1;1;1;1;0;2;1;0;0;1;1;4;0;1;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
514;1;2;2;1;0;2;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;2;1;1;0;0;1;0;0;0;1;5;1;0;2;0;1;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
515;1;0;2;1;0;1;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;1;3;0;1;1;1;2;1;0;0;1;3;1;1;1;0;1;0;0;0;0;0;0;0;1;2;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
516;0;0;1;1;0;2;1;0;0;0;2;0;1;0;1;0;1;0;0;0;0;1;2;1;1;1;1;1;1;0;0;1;3;1;1;1;0;1;0;0;0;0;0;0;0;1;3;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517;0;0;1;2;0;1;1;0;0;0;2;1;2;0;0;0;2;0;0;0;0;1;1;1;1;0;1;1;1;0;0;1;1;1;0;2;0;1;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
518;0;0;0;0;0;1;2;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;2;0;0;1;0;0;1;1;1;0;1;0;0;0;1;2;1;0;0;0;0;1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
519;1;1;1;1;0;2;2;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;2;1;3;0;0;1;0;0;0;1;4;1;1;2;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
520;0;0;1;1;0;1;0;0;0;0;2;0;2;0;1;0;1;0;0;0;0;1;2;1;1;1;1;1;1;0;0;1;1;1;2;1;0;2;0;0;0;0;0;0;0;3;4;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
521;0;0;0;1;0;1;1;0;0;0;3;0;2;0;0;0;0;0;0;0;0;1;1;2;1;0;1;1;0;0;0;2;1;1;1;1;0;2;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
522;0;0;1;1;0;1;2;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;1;1;1;0;1;2;3;2;1;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
523;0;0;0;0;0;1;1;1;0;0;2;0;2;1;0;0;1;1;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;0;2;1;0;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;0;1;1;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;2;0;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
524;0;1;2;1;0;1;1;0;0;0;1;0;2;0;0;0;1;0;0;0;0;1;1;1;1;1;0;1;1;0;0;1;1;0;1;2;0;2;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
525;0;1;1;0;0;1;1;0;0;0;2;0;1;0;0;0;1;0;0;0;0;1;2;1;1;0;1;1;1;0;1;1;1;1;1;2;0;1;0;0;0;0;0;0;0;4;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
526;0;0;0;0;0;1;1;0;1;0;2;1;1;2;0;0;1;0;2;1;0;1;0;0;0;1;0;0;1;0;1;1;0;0;1;2;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0;0;0;1;1;2;1;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;3;1;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
